id;name;url;nodes
10470;Сарафаны;https://www.wildberries.by/catalog?category=10470;office_bigroot
10468;Юбки;https://www.wildberries.by/catalog?category=10468;office_bigroot
10043;Пляжная мода;https://www.wildberries.by/catalog?category=10043;beach1
10045;Аксессуары;https://www.wildberries.by/catalog?category=10045;beach1
10044;Купальники;https://www.wildberries.by/catalog?category=10044;beach1
10046;Одежда;https://www.wildberries.by/catalog?category=10046;beach1
61439;Религиозная;https://www.wildberries.by/catalog?category=61439;religion
61440;Ислам;https://www.wildberries.by/catalog?category=61440;religion
61441;Православие;https://www.wildberries.by/catalog?category=61441;religion
10016;Свадьба;https://www.wildberries.by/catalog?category=10016;wedding
10320;Аксессуары;https://www.wildberries.by/catalog?category=10320;wedding
130253;Белье;https://www.wildberries.by/catalog?category=130253;wedding
10318;Обувь для невесты;https://www.wildberries.by/catalog?category=10318;wedding
16217;Обувь для подружек невесты;https://www.wildberries.by/catalog?category=16217;wedding
10316;Платья подружек невесты;https://www.wildberries.by/catalog?category=10316;wedding
10315;Свадебные платья;https://www.wildberries.by/catalog?category=10315;wedding
130254;Свадебная фата;https://www.wildberries.by/catalog?category=130254;wedding
7404;Спецодежда и СИЗы;https://www.wildberries.by/catalog?category=7404;work_clothes
128447;Медицинская одежда;https://www.wildberries.by/catalog?category=128447;work_clothes
128448;Униформа и рабочая одежда;https://www.wildberries.by/catalog?category=128448;work_clothes
128449;Головные уборы;https://www.wildberries.by/catalog?category=128449;work_clothes
128450;Рабочая обувь;https://www.wildberries.by/catalog?category=128450;work_clothes
128451;Одноразовые изделия;https://www.wildberries.by/catalog?category=128451;work_clothes
128452;Средства защиты органов дыхания;https://www.wildberries.by/catalog?category=128452;work_clothes
128453;Средства индивидуальной защиты;https://www.wildberries.by/catalog?category=128453;work_clothes
129175;Автотовары;https://www.wildberries.by/catalog?category=129175;gift13
129177;Аксессуары;https://www.wildberries.by/catalog?category=129177;gift13
130614;Аксессуары для волос;https://www.wildberries.by/catalog?category=130614;gift14
129179;Для дома;https://www.wildberries.by/catalog?category=129179;gift15
129180;Игрушки;https://www.wildberries.by/catalog?category=129180;gift14
129181;Канцелярия и книги;https://www.wildberries.by/catalog?category=129181;gift14
129182;Красота;https://www.wildberries.by/catalog?category=129182;gift18
129183;Открытки и сувениры;https://www.wildberries.by/catalog?category=129183;gift14
129184;Для праздника;https://www.wildberries.by/catalog?category=129184;gift19
129185;Посуда;https://www.wildberries.by/catalog?category=129185;gift23
129186;Продукты;https://www.wildberries.by/catalog?category=129186;gift19
130616;Тапочки;https://www.wildberries.by/catalog?category=130616;gift19
129187;Хобби и творчество;https://www.wildberries.by/catalog?category=129187;gift19
129188;Бижутерные украшения;https://www.wildberries.by/catalog?category=129188;gift21
61030;Именные подарки;https://www.wildberries.by/catalog?category=61030;gift22
128330;Детская;https://www.wildberries.by/catalog?category=128330;children_shoes
631;Для девочек;https://www.wildberries.by/catalog?category=631;children_shoes
645;Для мальчиков;https://www.wildberries.by/catalog?category=645;children_shoes
8225;Для новорожденных;https://www.wildberries.by/catalog?category=8225;children_shoes
8177;Балетки и чешки;https://www.wildberries.by/catalog?category=8177;women_shoes1
8178;Босоножки и сандалии;https://www.wildberries.by/catalog?category=8178;women_shoes1
8176;Ботинки и полуботинки;https://www.wildberries.by/catalog?category=8176;women_shoes1
8182;Кеды и кроссовки;https://www.wildberries.by/catalog?category=8182;women_shoes2
62281;Мокасины и топсайдеры;https://www.wildberries.by/catalog?category=62281;women_shoes2
8206;Сабо и мюли;https://www.wildberries.by/catalog?category=8206;women_shoes2
8186;Сапоги;https://www.wildberries.by/catalog?category=8186;women_shoes3
8187;Тапочки;https://www.wildberries.by/catalog?category=8187;women_shoes3
8188;Туфли и лоферы;https://www.wildberries.by/catalog?category=8188;women_shoes3
8175;Шлепанцы и аквасоки;https://www.wildberries.by/catalog?category=8175;women_shoes3
751;Мужская;https://www.wildberries.by/catalog?category=751;men_shoes
8191;Ботинки и полуботинки;https://www.wildberries.by/catalog?category=8191;men_shoes
8194;Кеды и кроссовки;https://www.wildberries.by/catalog?category=8194;men_shoes
62282;Мокасины и топсайдеры;https://www.wildberries.by/catalog?category=62282;men_shoes
8199;Сапоги и унты;https://www.wildberries.by/catalog?category=8199;men_shoes
8201;Тапочки;https://www.wildberries.by/catalog?category=8201;men_shoes
8202;Туфли и лоферы;https://www.wildberries.by/catalog?category=8202;men_shoes
8200;Шлепанцы и аквасоки;https://www.wildberries.by/catalog?category=8200;men_shoes
128335;Ортопедическая обувь;https://www.wildberries.by/catalog?category=128335;shealth8
62875;Аксессуары для обуви;https://www.wildberries.by/catalog?category=62875;shoes_accessories1
147;Белье;https://www.wildberries.by/catalog?category=147;children_girls1
8310;Блузки и рубашки;https://www.wildberries.by/catalog?category=8310;children_girls1
8311;Брюки и шорты;https://www.wildberries.by/catalog?category=8311;children_girls1
63083;Верхняя одежда;https://www.wildberries.by/catalog?category=63083;children_girls1
8314;Водолазки;https://www.wildberries.by/catalog?category=8314;children_girls1
8315;Джемперы и кардиганы;https://www.wildberries.by/catalog?category=8315;children_girls1
8316;Джинсы и джеггинсы;https://www.wildberries.by/catalog?category=8316;children_girls1
8313;Жилеты;https://www.wildberries.by/catalog?category=8313;children_girls2
8317;Карнавальные костюмы;https://www.wildberries.by/catalog?category=8317;children_girls2
8318;Комбинезоны и полукомбинезоны;https://www.wildberries.by/catalog?category=8318;children_girls2
8320;Костюмы;https://www.wildberries.by/catalog?category=8320;children_girls2
10057;Купальные костюмы;https://www.wildberries.by/catalog?category=10057;children_girls2
9413;Лонгсливы;https://www.wildberries.by/catalog?category=9413;children_girls2
128535;Обувь;https://www.wildberries.by/catalog?category=128535;children_girls2
8321;Одежда для дома;https://www.wildberries.by/catalog?category=8321;children_girls4
130226;Пижамы и сорочки;https://www.wildberries.by/catalog?category=130226;children_girls4
8322;Пиджаки и жакеты;https://www.wildberries.by/catalog?category=8322;children_girls3
8323;Платья и сарафаны;https://www.wildberries.by/catalog?category=8323;children_girls3
8325;Свитшоты;https://www.wildberries.by/catalog?category=8325;children_girls3
8326;Толстовки;https://www.wildberries.by/catalog?category=8326;children_girls3
8327;Туники;https://www.wildberries.by/catalog?category=8327;children_girls3
8469;Фартуки;https://www.wildberries.by/catalog?category=8469;children_girls3
8328;Футболки и топы;https://www.wildberries.by/catalog?category=8328;children_girls3
130665;Халаты;https://www.wildberries.by/catalog?category=130665;children_girls3
8883;Худи;https://www.wildberries.by/catalog?category=8883;children_girls3
8329;Юбки;https://www.wildberries.by/catalog?category=8329;children_girls3
8331;Белье;https://www.wildberries.by/catalog?category=8331;children_boys2
8334;Брюки и шорты;https://www.wildberries.by/catalog?category=8334;children_boys1
63082;Верхняя одежда;https://www.wildberries.by/catalog?category=63082;children_boys1
8344;Водолазки;https://www.wildberries.by/catalog?category=8344;children_boys1
8337;Джемперы и кардиганы;https://www.wildberries.by/catalog?category=8337;children_boys3
8335;Джинсы;https://www.wildberries.by/catalog?category=8335;children_boys2
8341;Жилеты;https://www.wildberries.by/catalog?category=8341;children_boys1
8347;Карнавальные костюмы;https://www.wildberries.by/catalog?category=8347;children_boys1
8345;Комбинезоны и полукомбинезоны;https://www.wildberries.by/catalog?category=8345;children_boys1
8339;Костюмы;https://www.wildberries.by/catalog?category=8339;children_boys3
9414;Лонгсливы;https://www.wildberries.by/catalog?category=9414;children_boys2
128536;Обувь;https://www.wildberries.by/catalog?category=128536;children_boys2
8343;Одежда для дома;https://www.wildberries.by/catalog?category=8343;children_boys4
130266;Брюки и шорты;https://www.wildberries.by/catalog?category=130266;children_boys4
130267;Джемперы и кардиганы;https://www.wildberries.by/catalog?category=130267;children_boys4
130268;Жакеты и жилеты;https://www.wildberries.by/catalog?category=130268;children_boys4
130269;Костюмы и комбинезоны;https://www.wildberries.by/catalog?category=130269;children_boys4
130270;Пижамы;https://www.wildberries.by/catalog?category=130270;children_boys4
130271;Рубашки;https://www.wildberries.by/catalog?category=130271;children_boys4
130272;Толстовки и лонгсливы;https://www.wildberries.by/catalog?category=130272;children_boys4
130273;Футболки;https://www.wildberries.by/catalog?category=130273;children_boys4
130274;Халаты;https://www.wildberries.by/catalog?category=130274;children_boys4
8340;Пиджаки и жакеты;https://www.wildberries.by/catalog?category=8340;children_boys1
10058;Плавки и бордшорты;https://www.wildberries.by/catalog?category=10058;children_boys3
8333;Рубашки;https://www.wildberries.by/catalog?category=8333;children_boys2
8342;Свитшоты;https://www.wildberries.by/catalog?category=8342;children_boys2
8338;Толстовки;https://www.wildberries.by/catalog?category=8338;children_boys3
8470;Фартуки;https://www.wildberries.by/catalog?category=8470;children_boys1
8332;Футболки и майки;https://www.wildberries.by/catalog?category=8332;children_boys3
8884;Худи;https://www.wildberries.by/catalog?category=8884;children_boys3
199;Для новорожденных;https://www.wildberries.by/catalog?category=199;babies1
61310;Аксессуары;https://www.wildberries.by/catalog?category=61310;babies1
200;Белье;https://www.wildberries.by/catalog?category=200;babies1
201;Боди и ползунки;https://www.wildberries.by/catalog?category=201;babies1
202;Брюки и шорты;https://www.wildberries.by/catalog?category=202;babies1
63081;Верхняя одежда;https://www.wildberries.by/catalog?category=63081;babies1
212;Жакеты и болеро;https://www.wildberries.by/catalog?category=212;babies1
204;Комбинезоны и полукомбинезоны;https://www.wildberries.by/catalog?category=204;babies1
209;Конверты и спальные мешки;https://www.wildberries.by/catalog?category=209;babies1
208;Костюмы и комплекты;https://www.wildberries.by/catalog?category=208;babies1
211;Кофточки и джемперы;https://www.wildberries.by/catalog?category=211;babies1
214;Одежда для дома;https://www.wildberries.by/catalog?category=214;babies1
130690;Одежда для крещения;https://www.wildberries.by/catalog?category=130690;children_things2
128533;Одежда на выписку;https://www.wildberries.by/catalog?category=128533;babies1
128534;Пинетки;https://www.wildberries.by/catalog?category=128534;babies1
216;Платья и юбки;https://www.wildberries.by/catalog?category=216;babies1
8558;Распашонки;https://www.wildberries.by/catalog?category=8558;babies1
218;Футболки и топы;https://www.wildberries.by/catalog?category=218;babies1
130666;Халаты и пижамы;https://www.wildberries.by/catalog?category=130666;babies1
58522;Детская электроника;https://www.wildberries.by/catalog?category=58522;electronic36
60806;Конструкторы;https://www.wildberries.by/catalog?category=60806;toys1
9375;Детский транспорт;https://www.wildberries.by/catalog?category=9375;sport27
10384;Детское питание;https://www.wildberries.by/catalog?category=10384;children_things2
61448;Религиозная одежда;https://www.wildberries.by/catalog?category=61448;children_things2
243;Товары для малыша;https://www.wildberries.by/catalog?category=243;children_things3
8098;Аксессуары для кормления;https://www.wildberries.by/catalog?category=8098;children_things3
244;Аксессуары для купания;https://www.wildberries.by/catalog?category=244;children_things3
8097;Безопасность ребенка;https://www.wildberries.by/catalog?category=8097;children_things3
8100;Гигиена и уход;https://www.wildberries.by/catalog?category=8100;children_things3
9190;Мебель;https://www.wildberries.by/catalog?category=9190;children_things3
249;Пеленки, слюнявчики, царапки;https://www.wildberries.by/catalog?category=249;children_things3
8096;Передвижение;https://www.wildberries.by/catalog?category=8096;children_things2
11780;Автокресла и аксессуары;https://www.wildberries.by/catalog?category=11780;children_things2
11781;Коляски и аксессуары;https://www.wildberries.by/catalog?category=11781;children_things2
11795;Слинги и переноски;https://www.wildberries.by/catalog?category=11795;children_things2
9627;Постельные принадлежности;https://www.wildberries.by/catalog?category=9627;children_things2
7107;Подгузники;https://www.wildberries.by/catalog?category=7107;children_things2
130604;Аксессуары;https://www.wildberries.by/catalog?category=130604;gift10
130607;Вкусные подарки;https://www.wildberries.by/catalog?category=130607;gift10
130609;Для дома;https://www.wildberries.by/catalog?category=130609;gift10
130603;Игрушки;https://www.wildberries.by/catalog?category=130603;gift11
130612;Книги и канцтовары;https://www.wildberries.by/catalog?category=130612;gift10
130605;Косметика и уход;https://www.wildberries.by/catalog?category=130605;gift12
130613;Носки;https://www.wildberries.by/catalog?category=130613;gift12
130610;Открытки и сувениры;https://www.wildberries.by/catalog?category=130610;gift12
130608;Посуда;https://www.wildberries.by/catalog?category=130608;gift12
130606;Хобби и творчество;https://www.wildberries.by/catalog?category=130606;gift12
130611;Шарики и упаковка;https://www.wildberries.by/catalog?category=130611;gift12
8144;Брюки;https://www.wildberries.by/catalog?category=8144;men_clothes1
63011;Верхняя одежда;https://www.wildberries.by/catalog?category=63011;men_clothes1
8148;Джемперы, водолазки и кардиганы;https://www.wildberries.by/catalog?category=8148;men_clothes2
8149;Джинсы;https://www.wildberries.by/catalog?category=8149;men_clothes2
8152;Комбинезоны и полукомбинезоны;https://www.wildberries.by/catalog?category=8152;men_clothes2
8153;Костюмы;https://www.wildberries.by/catalog?category=8153;men_clothes2
9412;Лонгсливы;https://www.wildberries.by/catalog?category=9412;men_clothes3
129176;Майки;https://www.wildberries.by/catalog?category=129176;men_clothes3
8155;Пиджаки, жилеты и жакеты;https://www.wildberries.by/catalog?category=8155;men_clothes3
129258;Пижамы;https://www.wildberries.by/catalog?category=129258;men_clothes3
8156;Рубашки;https://www.wildberries.by/catalog?category=8156;men_clothes3
8158;Толстовки, свитшоты и худи;https://www.wildberries.by/catalog?category=8158;men_clothes4
